WaterSourceID,WaterSourceUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,Geometry,GNISFeatureNameCV
1111,Massey Draw-CODWR,A1207,Massey Draw,Uknown,Fresh,,
1112,Matt Creek-CODWR,A1208,Matt Creek,Uknown,Fresh,,
1113,Maudlin Gulch-CODWR,A1209,Maudlin Gulch,Uknown,Fresh,,
1114,Maverick Canyon-CODWR,A1210,Maverick Canyon,Uknown,Fresh,,
1115,Maverick Draw-CODWR,A1211,Maverick Draw,Uknown,Fresh,,
1116,Maxwell Creek-CODWR,A1212,Maxwell Creek,Uknown,Fresh,,
1117,Mayfield Hollow-CODWR,A1213,Mayfield Hollow,Uknown,Fresh,,
1118,McArthur Gulch-CODWR,A1214,McArthur Gulch,Uknown,Fresh,,
1119,McCabe Creek-CODWR,A1215,McCabe Creek,Uknown,Fresh,,
1120,McCall Creek-CODWR,A1216,McCall Creek,Uknown,Fresh,,
1121,McCarthy Gulch-CODWR,A1217,McCarthy Gulch,Uknown,Fresh,,
1122,McClave Drainage Ditch-CODWR,A1218,McClave Drainage Ditch,Uknown,Fresh,,
1123,McCoy Creek-CODWR,A1219,McCoy Creek,Uknown,Fresh,,
1124,McCrosky Gulch-CODWR,A1220,McCrosky Gulch,Uknown,Fresh,,
1125,McCullough Gulch Creek-CODWR,A1221,McCullough Gulch Creek,Uknown,Fresh,,
1126,McDermott Arroyo-CODWR,A1222,McDermott Arroyo,Uknown,Fresh,,
1127,McDonald Creek-CODWR,A1223,McDonald Creek,Uknown,Fresh,,
1128,McElmo Creek-CODWR,A1224,McElmo Creek,Uknown,Fresh,,
1129,McFadden Creek-CODWR,A1225,McFadden Creek,Uknown,Fresh,,
1130,McGuire Creek-CODWR,A1226,McGuire Creek,Uknown,Fresh,,
1131,McIntyre Creek-CODWR,A1227,McIntyre Creek,Uknown,Fresh,,
1132,McKenzie Creek-CODWR,A1228,McKenzie Creek,Uknown,Fresh,,
1133,McKinney Creek-CODWR,A1229,McKinney Creek,Uknown,Fresh,,
1134,McKinnis Creek-CODWR,A1230,McKinnis Creek,Uknown,Fresh,,
1135,McKinnon Creek-CODWR,A1231,McKinnon Creek,Uknown,Fresh,,
1136,McLernon Draw-CODWR,A1232,McLernon Draw,Uknown,Fresh,,
1137,McNally Creek-CODWR,A1233,McNally Creek,Uknown,Fresh,,
1138,McPhee Creek-CODWR,A1234,McPhee Creek,Uknown,Fresh,,
1139,McQueary Creek-CODWR,A1235,McQueary Creek,Uknown,Fresh,,
1140,McRae Arroyo-CODWR,A1236,McRae Arroyo,Uknown,Fresh,,
1141,Meadow Creek-CODWR,A1237,Meadow Creek,Uknown,Fresh,,
1142,Meadow Hollow Creek-CODWR,A1238,Meadow Hollow Creek,Uknown,Fresh,,
1143,Meadowbrook Creek-CODWR,A1239,Meadowbrook Creek,Uknown,Fresh,,
1144,Medano Creek-CODWR,A1240,Medano Creek,Uknown,Fresh,,
1145,Mendenhall Creek-CODWR,A1241,Mendenhall Creek,Uknown,Fresh,,
1146,Mercury Creek-CODWR,A1242,Mercury Creek,Uknown,Fresh,,
1147,Merkt Creek-CODWR,A1243,Merkt Creek,Uknown,Fresh,,
1148,Merling Creek-CODWR,A1244,Merling Creek,Uknown,Fresh,,
1149,Merriam Creek-CODWR,A1245,Merriam Creek,Uknown,Fresh,,
1150,Mesa Creek-CODWR,A1246,Mesa Creek,Uknown,Fresh,,
1151,Metz Creek-CODWR,A1247,Metz Creek,Uknown,Fresh,,
1152,Mexican Creek-CODWR,A1248,Mexican Creek,Uknown,Fresh,,
1153,Mexican Gulch-CODWR,A1249,Mexican Gulch,Uknown,Fresh,,
1154,Mexican Springs Branch G-CODWR,A1250,Mexican Springs Branch G,Uknown,Fresh,,
1155,Meyers Gulch-CODWR,A1251,Meyers Gulch,Uknown,Fresh,,
1156,Mica Creek-CODWR,A1252,Mica Creek,Uknown,Fresh,,
1157,Michigan Creek-CODWR,A1253,Michigan Creek,Uknown,Fresh,,
1158,Michigan River-CODWR,A1254,Michigan River,Uknown,Fresh,,
1159,Middle Barton Creek-CODWR,A1255,Middle Barton Creek,Uknown,Fresh,,
1160,Middle Boulder Creek-CODWR,A1256,Middle Boulder Creek,Uknown,Fresh,,
1161,Middle Canyon-CODWR,A1257,Middle Canyon,Uknown,Fresh,,
1162,Middle Colony Creek-CODWR,A1258,Middle Colony Creek,Uknown,Fresh,,
1163,Middle Cottonwood Creek-CODWR,A1259,Middle Cottonwood Creek,Uknown,Fresh,,
1164,Middle Creek-CODWR,A1260,Middle Creek,Uknown,Fresh,,
1165,Middle Fish Creek-CODWR,A1261,Middle Fish Creek,Uknown,Fresh,,
1166,Middle Fork Arapaho Cree-CODWR,A1262,Middle Fork Arapaho Cree,Uknown,Fresh,,
1167,Middle Fork Big Spring C-CODWR,A1263,Middle Fork Big Spring C,Uknown,Fresh,,
1168,Middle Fork Conejos Rive-CODWR,A1264,Middle Fork Conejos Rive,Uknown,Fresh,,
1169,Middle Fork Elk River-CODWR,A1265,Middle Fork Elk River,Uknown,Fresh,,
1170,Middle Fork Fish Creek-CODWR,A1266,Middle Fork Fish Creek,Uknown,Fresh,,
1171,Middle Fork Little Snake-CODWR,A1267,Middle Fork Little Snake,Uknown,Fresh,,
1172,Middle Fork Mad Creek-CODWR,A1268,Middle Fork Mad Creek,Uknown,Fresh,,
1173,Middle Fork Mexican Cree-CODWR,A1269,Middle Fork Mexican Cree,Uknown,Fresh,,
1174,Middle Fork Piedra River-CODWR,A1270,Middle Fork Piedra River,Uknown,Fresh,,
1175,Middle Fork Purgatoire R-CODWR,A1271,Middle Fork Purgatoire R,Uknown,Fresh,,
1176,Middle Fork Saguache Cre-CODWR,A1272,Middle Fork Saguache Cre,Uknown,Fresh,,
1177,Middle Fork San Francisc-CODWR,A1273,Middle Fork San Francisc,Uknown,Fresh,,
1178,Middle Fork South Arkans-CODWR,A1274,Middle Fork South Arkans,Uknown,Fresh,,
1179,Middle Fork South Platte-CODWR,A1275,Middle Fork South Platte,Uknown,Fresh,,
1180,Middle Hunt Creek-CODWR,A1276,Middle Hunt Creek,Uknown,Fresh,,
1181,Middle Mamm Creek-CODWR,A1277,Middle Mamm Creek,Uknown,Fresh,,
1182,Middle Mancos River-CODWR,A1278,Middle Mancos River,Uknown,Fresh,,
1183,Middle Miller Creek-CODWR,A1279,Middle Miller Creek,Uknown,Fresh,,
